gro,enc,exp,qow,sor,cwr
1,1,15,2,3,1
1,0,31,NA,NA,1
1,1,30,3,3,1
1,1,15,2,3,3
1,1,30,3,4,1
1,1,15,NA,NA,1
1,1,30,NA,3,1
1,1,15,2,3,1
1,1,30,3,4,1
1,1,30,NA,1,1
1,1,15,2,3,1
1,0,31,2,3,1
1,1,30,3,3,1
1,1,30,3,4,2
1,1,60,1,3,1
1,1,15,1,2,1
1,0,31,NA,NA,0
1,1,30,3,4,1
1,1,15,2,3,1
1,1,15,NA,3,1
1,0,0,0,3,0
1,0,90,NA,3,1
1,1,30,2,3,1
1,3,30,2,3,2
1,1,30,2,4,1
1,1,15,1,2,1
1,0,31,NA,NA,0
1,0,31,NA,NA,1
1,1,15,4,4,1
1,1,15,3,3,1
1,1,30,2,3,1
1,0,31,NA,NA,0
1,1,30,1,2,1
1,2,30,3,4,2
1,1,30,5,5,1
1,1,30,3,4,1
1,1,15,3,3,1
1,1,30,3,4,1
1,1,15,4,4,1
1,1,15,4,4,1
1,1,15,2,3,1
2,1,15,3,3,1
2,1,15,1,2,3
2,0,31,NA,NA,1
2,2,15,3,4,3
2,1,30,2,4,1
2,1,15,NA,NA,1
2,1,30,NA,3,1
2,0,31,NA,NA,1
2,3,120,3,4,3
2,1,30,NA,1,1
2,1,30,3,3,1
2,2,15,2,3,1
2,2,30,3,5,1
2,1,60,3,5,1
2,2,30,3,4,2
2,1,60,3,4,2
2,0,31,NA,NA,0
2,0,31,NA,NA,0
2,1,120,3,4,2
2,1,15,1,4,1
2,1,15,NA,2,1
2,1,15,2,3,1
2,0,31,NA,4,0
2,1,60,4,4,1
2,2,30,3,4,2
2,1,31,4,4,1
2,0,31,NA,NA,1
2,0,31,NA,NA,0
2,1,30,3,4,2
2,1,15,3,4,1
2,1,30,2,3,1
2,0,31,NA,NA,0
2,0,31,NA,NA,1
2,1,90,4,4,1
2,2,15,3,4,2
2,1,31,4,5,1
2,1,30,4,4,1
2,0,31,NA,NA,0
2,1,30,4,4,1
2,1,15,4,4,1
2,1,15,5,4,1
3,1,15,3,3,1
3,0,15,NA,4,1
3,1,30,3,4,1
3,2,30,2,4,3
3,1,60,2,4,1
3,2,30,NA,NA,1
3,1,60,NA,3,1
3,1,15,3,4,1
3,1,30,4,4,1
3,1,60,NA,1,1
3,1,30,3,4,1
3,0,0,0,3,0
3,1,30,3,3,1
3,1,30,2,3,2
3,2,30,3,4,2
3,2,30,2,4,2
3,0,31,NA,NA,0
3,2,15,3,4,1
3,1,15,4,5,1
3,0,31,NA,NA,0
3,1,30,2,1,1
3,0,0,0,3,0
3,1,30,4,5,4
3,1,30,2,3,1
3,2,15,3,4,1
3,1,30,3,4,1
3,0,31,NA,NA,1
3,1,15,2,3,1
3,1,15,4,4,2
3,1,30,3,4,1
3,1,60,3,4,1
3,1,60,2,3,1
3,0,31,NA,NA,1
3,1,30,3,3,1
3,1,15,2,3,1
3,1,30,4,4,1
3,1,15,4,5,1
3,2,15,3,4,1
3,1,15,4,5,1
3,1,15,4,5,1
3,1,30,5,5,1
4,1,15,4,4,1
4,0,15,NA,4,2
4,1,30,4,4,1
4,2,30,3,4,3
4,1,60,4,4,2
4,1,30,NA,NA,1
4,1,60,NA,3,1
4,2,120,4,5,2
4,1,30,4,5,1
4,1,60,NA,1,1
4,1,30,4,4,1
4,1,15,3,3,1
4,2,120,5,5,3
4,1,30,3,5,1
4,2,30,4,4,2
4,1,30,3,4,2
4,0,31,NA,NA,0
4,0,31,NA,NA,0
4,0,31,NA,NA,0
4,0,15,NA,NA,0
4,1,15,2,4,1
4,0,0,0,3,0
4,1,30,5,5,4
4,1,60,3,4,1
4,2,15,3,4,2
4,1,30,3,4,1
4,0,31,NA,NA,1
4,0,31,NA,NA,0
4,1,30,4,4,2
4,1,30,4,4,1
4,1,30,4,4,1
4,0,31,NA,NA,0
4,0,31,NA,NA,0
4,1,90,3,4,1
4,1,15,3,4,1
4,1,30,5,5,1
4,1,30,5,5,1
4,1,15,3,4,1
4,1,30,5,5,1
4,1,30,4,5,1
4,1,60,5,5,1
